eventname,outcome,type,compiledgametime,playsection,zone,manpowersituation,goal,teamid,playerid,opposingteamgoalieoniceid,xadjcoord,yadjcoord
reception,successful,regular,428.13,outsideNorthEast,oz,powerPlay,0,311,5814,80264,63.56066132,36.96764755
pass,successful,south,428.23,outsideNorthEast,oz,powerPlay,0,311,5814,80264,61.04595566,36.46470642
reception,successful,regular,428.97,eastPoint,oz,powerPlay,0,311,6588,80264,29.36066437,22.88529396
shot,failed,outsideblocked,429.00,eastPoint,oz,powerPlay,0,311,6588,80264,29.36066437,22.88529396
pass,successful,outlet,430.67,innerSlotDZ,dz,shortHanded,0,315,400162,5152,-77.14793396,-8.299999237
reception,successful,regular,431.47,centerPointDZ,dz,shortHanded,0,315,82048,5152,-47.47440338,-5.785293579
pass,successful,d2doffboards,439.53,outsideNorthWestDZ,dz,evenStrength,0,315,202206,5152,-94.24793243,28.91764832
reception,successful,regular,440.67,outsideNorthEastDZ,dz,evenStrength,0,315,400162,5152,-96.76263428,-21.37647057
pass,failed,outlet,441.07,outsideNorthEastDZ,dz,evenStrength,0,315,400162,5152,-94.75086975,-26.40588188
pass,successful,d2doffboards,443.40,outsideNorthEastDZ,dz,evenStrength,0,315,10534,5152,-59.04204941,-39.98529434
reception,successful,regular,444.13,outsideNorthEastDZ,dz,evenStrength,0,315,10534,5152,-62.0596962,-37.97352982
pass,successful,outlet,445.43,outsideNorthEastDZ,dz,evenStrength,0,315,10534,5152,-76.64498901,-32.9441185
reception,successful,regular,446.13,westOuterSlotDZ,dz,evenStrength,0,315,202206,5152,-63.56851959,18.35588074
pass,successful,stretchoffboards,452.83,westPointDZ,dz,evenStrength,0,311,109372,80264,-36.52462769,18.35882378
reception,successful,regular,454.77,northEastBoardsNZ,nz,evenStrength,0,311,1731661,80264,9.745956421,39.48235321
pass,failed,eastwest,465.57,westPoint,oz,evenStrength,0,311,1731661,80264,37.40772247,-30.4264679
pass,failed,d2d,469.57,westOuterSlotDZ,dz,evenStrength,0,315,10534,5152,-63.56851959,16.34411621
pass,successful,d2doffboards,471.67,outsideNorthWestDZ,dz,evenStrength,0,315,78625,5152,-94.75086975,22.37940979
reception,successful,regular,472.87,outsideNorthEastDZ,dz,evenStrength,0,315,202206,5152,-91.73322296,-28.41764641
pass,successful,outlet,475.37,outsideNorthEastDZ,dz,evenStrength,0,315,202206,5152,-59.04204941,-24.39411736
reception,successful,regular,476.27,southEastBoardsNZ,nz,evenStrength,0,315,110856,5152,-19.30970001,31.9352951
pass,successful,d2d,481.47,outsideNorthEastDZ,dz,evenStrength,0,311,5152,80264,-97.87559509,-2.764705658
reception,successful,regular,482.10,outsideNorthWestDZ,dz,evenStrength,0,311,80,80264,-92.84619141,18.86176491
pass,failed,outlet,483.07,outsideNorthWestDZ,dz,evenStrength,0,311,80,80264,-91.84030151,30.42941284
pass,failed,stretch,488.63,centerPointDZ,dz,evenStrength,0,315,79380,5152,-43.45087433,-15.34117699
reception,failed,regular,489.73,northEastBoardsNZ,nz,evenStrength,0,315,110856,5152,16.90206909,35.95882416
pass,failed,outletoffboards,496.63,outsideNorthEastDZ,dz,evenStrength,0,311,108339,80264,-81.78147888,-39.98235321
pass,failed,northoffboards,499.83,westPoint,oz,evenStrength,0,315,80518,5152,38.02560425,-26.40588188
pass,successful,d2doffboards,502.87,outsideNorthWestDZ,dz,evenStrength,0,311,108339,80264,-91.84030151,28.41764641
reception,successful,regular,504.70,outsideNorthWestDZ,dz,evenStrength,0,311,370192,80264,-96.36677551,6.288234711
pass,failed,stretch,506.37,outsideNorthEastDZ,dz,evenStrength,0,311,370192,80264,-92.34324646,-16.84705734
pass,successful,d2d,512.50,outsideNorthWestDZ,dz,evenStrength,0,315,82048,5152,-70.60969543,22.37940979
reception,successful,regular,512.57,outsideNorthWestDZ,dz,evenStrength,0,315,20161,5152,-73.62734222,26.90588379
pass,successful,d2doffboards,512.60,outsideNorthWestDZ,dz,evenStrength,0,315,20161,5152,-73.62734222,26.90588379
reception,successful,regular,514.20,outsideNorthEastDZ,dz,evenStrength,0,315,20775372,5152,-95.75675201,-4.779411316
pass,successful,d2d,514.67,outsideNorthEastDZ,dz,evenStrength,0,315,20775372,5152,-92.73910522,-16.34705925
reception,successful,regular,515.33,outsideNorthEastDZ,dz,evenStrength,0,315,126723,5152,-69.10087585,-31.93823624
pass,successful,outlet,515.87,outsideNorthEastDZ,dz,evenStrength,0,315,126723,5152,-64.57440186,-28.92058754
reception,successful,regular,516.47,eastOuterSlotDZ,dz,evenStrength,0,315,20161,5152,-60.04793167,-0.755882263
pass,successful,outlet,517.90,centerPointDZ,dz,evenStrength,0,315,20161,5152,-36.40969849,2.261764526
reception,successful,regular,518.33,southCenterNZ,nz,evenStrength,0,315,80518,5152,-20.81851959,-13.32941246
pass,failed,slot,522.80,outsideNorthEast,oz,evenStrength,0,315,80518,5152,76.7520752,19.361763
pass,successful,eastwest,527.37,southCenterNZ,nz,evenStrength,0,311,112050,80264,-8.35206604,13.83235359
reception,successful,regular,527.90,southCenterNZ,nz,evenStrength,0,311,370192,80264,-3.322654724,-2.764705658
pass,successful,ozentry,528.53,northCenterNZ,nz,evenStrength,0,311,370192,80264,17.8008728,3.270587921
reception,successful,ozentry,529.03,eastPoint,oz,evenStrength,0,311,112050,80264,33.89498901,32.44117737
pass,failed,rush,529.93,eastPoint,oz,evenStrength,0,311,112050,80264,53.00675583,36.96764755
pass,failed,south,533.33,outsideNorthWest,oz,evenStrength,0,311,109964,80264,74.63322449,-39.98235321
pass,successful,south,537.73,southEastBoardsNZ,nz,evenStrength,0,311,6588,80264,-12.87854004,23.89117622
reception,successful,regular,538.37,eastPointDZ,dz,evenStrength,0,311,1312,80264,-26.45794678,-31.43235016
pass,successful,stretch,539.33,eastPointDZ,dz,evenStrength,0,311,1312,80264,-29.98640442,-30.92941284
reception,successful,regular,540.37,northEastBoardsNZ,nz,evenStrength,0,311,370192,80264,4.213600159,27.91470528
pass,successful,south,542.17,southEastBoardsNZ,nz,evenStrength,0,311,370192,80264,-23.95110321,31.4352932
reception,successful,regular,543.13,southWestBoardsNZ,nz,evenStrength,0,311,1312,80264,-24.45404053,-37.46764374
pass,failed,outlet,549.40,outsideNorthEastDZ,dz,evenStrength,0,315,20775372,5152,-79.15184021,-37.47058868
reception,failed,regular,550.07,eastPointDZ,dz,evenStrength,0,315,884,5152,-48.47242737,-34.95588303
pass,successful,south,552.57,northEastBoardsNZ,nz,evenStrength,0,311,446706,80264,1.195953369,31.4352932
reception,successful,regular,554.00,southWestBoardsNZ,nz,evenStrength,0,311,108339,80264,-11.37757111,-27.40882111
pass,successful,d2d,559.70,outsideNorthEastDZ,dz,evenStrength,0,315,400162,5152,-95.24595642,-22.38235283
reception,successful,regular,560.20,outsideNorthEastDZ,dz,evenStrength,0,315,884,5152,-75.63124847,-17.35294151
pass,successful,outlet,561.30,eastOuterSlotDZ,dz,evenStrength,0,315,884,5152,-71.60771942,-16.85000038
reception,successful,regular,562.00,westPointDZ,dz,evenStrength,0,315,54915,5152,-36.40184021,37.46764374
pass,failed,north,563.67,southEastBoardsNZ,nz,evenStrength,0,315,54915,5152,-21.31360626,38.97647095
