eventname,outcome,type,compiledgametime,playsection,zone,manpowersituation,goal,teamid,playerid,opposingteamgoalieoniceid,xadjcoord,yadjcoord
pass,successful,north,976.90,outsideNorthEast,oz,powerPlay,0,315,79380,5152,65.68736267,34.95294189
reception,successful,regular,977.27,outsideNorthEast,oz,powerPlay,0,315,126723,5152,81.78147888,37.46764374
pass,successful,south,978.30,outsideNorthEast,oz,powerPlay,0,315,126723,5152,69.20794678,34.44999695
reception,successful,regular,979.03,centerPoint,oz,powerPlay,0,315,78625,5152,31.48736572,12.32058716
pass,successful,eastwest,980.53,centerPoint,oz,powerPlay,0,315,78625,5152,33.49913025,11.3147049
reception,successful,regular,981.17,outsideNorthWest,oz,powerPlay,0,315,81408,5152,61.16088867,-26.40588188
shot,failed,outside,981.27,outsideNorthWest,oz,powerPlay,0,315,81408,5152,63.1726532,-26.40588188
pass,successful,south,983.60,outsideNorthEast,oz,powerPlay,0,315,126723,5152,81.27853394,34.44999695
reception,successful,regular,984.20,eastPoint,oz,powerPlay,0,315,78625,5152,41.04324341,37.97058868
pass,successful,north,984.87,eastPoint,oz,powerPlay,0,315,78625,5152,42.0491333,37.46764374
reception,successful,regular,985.63,outsideNorthEast,oz,powerPlay,0,315,126723,5152,77.25500488,33.94705963
pass,successful,south,985.73,outsideNorthEast,oz,powerPlay,0,315,126723,5152,78.76383972,29.92353058
reception,successful,regular,986.60,centerPoint,oz,powerPlay,0,315,79380,5152,33.49913025,6.788234711
pass,successful,slot,986.63,centerPoint,oz,powerPlay,0,315,79380,5152,33.49913025,6.788234711
reception,successful,regular,987.23,westOuterSlot,oz,powerPlay,0,315,81408,5152,61.66383362,-15.34117699
pass,successful,eastwest,989.73,centerPoint,oz,powerPlay,0,315,81408,5152,36.51676941,-14.33529472
reception,successful,regular,990.80,outsideNorthEast,oz,powerPlay,0,315,78625,5152,58.14324951,34.95294189
pass,successful,south,993.07,outsideNorthEast,oz,powerPlay,0,315,78625,5152,77.75794983,32.94117737
reception,successful,regular,993.97,eastPoint,oz,powerPlay,0,315,79380,5152,41.04324341,31.43235016
pass,successful,slot,995.23,eastPoint,oz,powerPlay,0,315,79380,5152,35.51089478,26.40293884
reception,successful,regular,995.77,innerSlot,oz,powerPlay,0,315,126723,5152,78.76383972,1.255882263
shot,failed,slot,995.80,innerSlot,oz,powerPlay,0,315,126723,5152,78.76383972,1.255882263
pass,successful,d2doffboards,999.53,outsideNorthWestDZ,dz,shortHanded,0,311,2546838,80264,-98.38639832,3.270587921
reception,successful,regular,1000.03,outsideNorthWestDZ,dz,shortHanded,0,311,6588,80264,-96.87757874,22.38235283
pass,successful,d2doffboards,1007.00,outsideNorthWestDZ,dz,evenStrength,0,315,884,5152,-69.10087585,24.39117432
reception,successful,regular,1008.47,outsideNorthWestDZ,dz,evenStrength,0,315,56711,5152,-95.2538147,3.770587921
pass,successful,d2doffboards,1009.27,outsideNorthEastDZ,dz,evenStrength,0,315,56711,5152,-97.26557922,-0.755882263
reception,successful,regular,1010.67,outsideNorthWestDZ,dz,evenStrength,0,315,20161,5152,-96.25969696,15.84117508
pass,successful,outlet,1011.93,outsideNorthWestDZ,dz,evenStrength,0,315,20161,5152,-91.73322296,23.38529205
reception,successful,regular,1012.73,westPointDZ,dz,evenStrength,0,315,884,5152,-40.93616867,35.45587921
pass,successful,outlet,1019.00,westPointDZ,dz,shortHanded,0,315,884,5152,-37.91852188,19.86470795
reception,successful,regular,1019.70,southEastBoardsNZ,nz,shortHanded,0,315,82048,5152,-10.75969696,36.46176147
pass,successful,outlet,1029.83,outsideNorthWestDZ,dz,powerPlay,0,311,94531,80264,-84.7991333,13.32941246
reception,successful,regular,1030.83,westPointDZ,dz,powerPlay,0,311,112050,80264,-28.4697113,35.96176529
pass,successful,south,1033.43,southCenterNZ,nz,powerPlay,0,311,112050,80264,-5.33441925,2.264705658
reception,successful,regular,1034.20,southCenterNZ,nz,powerPlay,0,311,94531,80264,-18.91383362,17.85588264
pass,successful,south,1034.43,southCenterNZ,nz,powerPlay,0,311,94531,80264,-18.91383362,16.34705925
reception,successful,regular,1035.67,westPointDZ,dz,powerPlay,0,311,370192,80264,-30.98442078,19.86764717
pass,successful,d2d,1035.73,westPointDZ,dz,powerPlay,0,311,370192,80264,-32.49319839,18.86179924
reception,successful,regular,1036.33,centerPointDZ,dz,powerPlay,0,311,111452,80264,-38.5284996,3.270590067
pass,successful,outletoffboards,1036.37,centerPointDZ,dz,powerPlay,0,311,111452,80264,-37.5226593,3.270587921
reception,successful,regular,1038.37,southEastBoardsNZ,nz,powerPlay,0,311,112050,80264,-4.831480026,38.97940063
pass,successful,south,1038.60,southEastBoardsNZ,nz,powerPlay,0,311,112050,80264,-6.340301514,40.48823547
reception,successful,regular,1041.40,outsideNorthWestDZ,dz,powerPlay,0,311,112050,80264,-68.70500183,24.39411736
pass,successful,d2d,1045.40,outsideNorthWestDZ,dz,powerPlay,0,311,112050,80264,-94.85795593,7.797058105
reception,successful,regular,1046.10,outsideNorthWestDZ,dz,powerPlay,0,311,94531,80264,-95.36088562,5.282352448
pass,successful,d2d,1049.27,eastPointDZ,dz,powerPlay,0,311,94531,80264,-31.99031067,-29.92353058
reception,successful,regular,1051.37,westPointDZ,dz,powerPlay,0,311,94531,80264,-28.4697113,16.85000038
pass,successful,ozentry,1053.27,northCenterNZ,nz,powerPlay,0,311,94531,80264,17.8008728,14.83823586
reception,successful,ozentry,1053.80,eastPoint,oz,powerPlay,0,311,112050,80264,31.88322449,39.48235321
pass,successful,north,1056.77,outsideNorthEast,oz,powerPlay,0,311,112050,80264,75.13616943,31.93823624
reception,successful,regular,1057.33,outsideNorthEast,oz,powerPlay,0,311,370192,80264,79.6626358,37.97352982
pass,successful,slot,1058.17,outsideNorthEast,oz,powerPlay,0,311,370192,80264,65.58028412,34.45294189
reception,successful,regular,1058.60,eastOuterSlot,oz,powerPlay,0,311,111452,80264,60.04793167,15.84411812
pass,successful,south,1058.87,eastOuterSlot,oz,powerPlay,0,311,111452,80264,57.53319931,15.8441
reception,successful,regular,1059.50,eastPoint,oz,powerPlay,0,311,370192,80264,46.97146225,36.96764755
pass,successful,eastwest,1059.73,eastPoint,oz,powerPlay,0,311,370192,80264,44.95969772,38.47647095
reception,successful,regular,1060.70,westPoint,oz,powerPlay,0,311,109964,80264,37.41558075,-35.45587921
pass,successful,south,1061.53,westPoint,oz,powerPlay,0,311,109964,80264,37.41558075,-35.45587921
reception,successful,regular,1061.97,westPoint,oz,powerPlay,0,311,94531,80264,30.37440491,-13.32646942
pass,successful,north,1062.30,centerPoint,oz,powerPlay,0,311,94531,80264,28.36264038,-11.81764603
reception,successful,regular,1063.00,westPoint,oz,powerPlay,0,311,109964,80264,45.96557999,-37.97058868
pass,successful,slot,1065.93,outsideNorthWest,oz,powerPlay,0,311,109964,80264,59.54499054,-39.98235321
reception,successful,regular,1066.50,westOuterSlot,oz,powerPlay,0,311,111452,80264,65.0773468,-17.85293961
pass,successful,south,1067.97,outsideNorthWest,oz,powerPlay,0,311,111452,80264,70.60969543,-39.47940826
reception,successful,regular,1068.97,westPoint,oz,powerPlay,0,311,94531,80264,28.8655777,-38.97647095
pass,successful,north,1070.33,westPoint,oz,powerPlay,0,311,94531,80264,29.87145996,-32.43823242
reception,successful,regular,1071.20,outsideNorthWest,oz,powerPlay,0,311,111452,80264,60.04793167,-38.473526
pass,successful,slot,1071.90,outsideNorthWest,oz,powerPlay,0,311,111452,80264,63.06557846,-30.4264679
reception,successful,regular,1072.40,westOuterSlot,oz,powerPlay,0,311,109964,80264,61.05381393,-12.32058716
shot,failed,slotblocked,1072.43,westOuterSlot,oz,powerPlay,0,311,109964,80264,62.0596962,-10.30882263
pass,successful,eastwest,1077.17,centerPoint,oz,powerPlay,0,311,370192,80264,47.47440338,11.31764603
reception,successful,regular,1077.87,outsideNorthWest,oz,powerPlay,0,311,111452,80264,71.6155777,-23.38529205
shot,successful,slot,1079.00,westOuterSlot,oz,powerPlay,0,311,111452,80264,73.12440491,-16.34411621
pass,failed,north,1081.67,outsideNorthWest,oz,powerPlay,0,311,111452,80264,81.67440033,-36.46176147
pass,successful,south,1084.10,westOuterSlot,oz,powerPlay,0,311,370192,80264,68.59007263,-22.37940979
reception,successful,regular,1085.83,centerPoint,oz,powerPlay,0,311,6588,80264,34.39007568,-3.770587921
pass,successful,eastwest,1087.10,centerPoint,oz,powerPlay,0,311,6588,80264,34.893013,9.808822632
reception,successful,regular,1088.03,westPoint,oz,powerPlay,0,311,94531,80264,34.893013,-20.87059021
pass,successful,eastwest,1088.87,westPoint,oz,powerPlay,0,311,94531,80264,33.88713074,-21.87647247
reception,successful,regular,1089.73,eastPoint,oz,powerPlay,0,311,6588,80264,34.39007568,20.87352943
pass,successful,north,1091.07,eastPoint,oz,powerPlay,0,311,6588,80264,39.419487,25.39999962
reception,successful,regular,1091.87,outsideNorthEast,oz,powerPlay,0,311,370192,80264,86.69595337,20.87352943
pass,successful,south,1092.80,outsideNorthEast,oz,powerPlay,0,311,370192,80264,86.69595337,20.3705883
reception,successful,regular,1093.43,eastPoint,oz,powerPlay,0,311,6588,80264,44.44889832,19.86764717
shot,failed,outside,1093.63,centerPoint,oz,powerPlay,0,311,6588,80264,44.95183945,18.86176491
pass,successful,d2d,1100.93,outsideNorthEastDZ,dz,powerPlay,0,311,5152,80264,-95.87168884,-7.794116974
reception,successful,regular,1102.07,outsideNorthEastDZ,dz,powerPlay,0,311,6588,80264,-93.85992432,-2.261764526
pass,successful,south,1106.57,southEastBoardsNZ,nz,powerPlay,0,311,6588,80264,-2.827575684,23.38823509
reception,successful,regular,1108.00,southCenterNZ,nz,powerPlay,0,311,370192,80264,-8.862869263,16.85000038
pass,successful,ozentry,1109.60,northCenterNZ,nz,powerPlay,0,311,370192,80264,23.32537079,-5.782352448
reception,successful,ozentry,1110.80,westPoint,oz,powerPlay,0,311,111452,80264,45.45478058,-28.41470337
pass,successful,south,1112.53,westPoint,oz,powerPlay,0,311,111452,80264,52.99889755,-35.45587921
reception,successful,regular,1113.67,westPoint,oz,powerPlay,0,311,94531,80264,28.3547821,-30.4264679
pass,successful,eastwest,1114.57,westPoint,oz,powerPlay,0,311,94531,80264,31.37242889,-21.87647247
reception,successful,regular,1115.43,eastPoint,oz,powerPlay,0,311,6588,80264,31.87536621,20.87352943
pass,successful,eastwest,1117.23,eastPoint,oz,powerPlay,0,311,6588,80264,38.91654587,21.8794117
reception,successful,regular,1118.13,westPoint,oz,powerPlay,0,311,94531,80264,36.90477753,-22.37940979
pass,successful,slot,1120.03,centerPoint,oz,powerPlay,0,311,94531,80264,37.40772247,5.785293579
reception,successful,regular,1120.53,innerSlot,oz,powerPlay,0,311,111452,80264,81.66654205,-6.788234711
shot,failed,slot,1120.57,innerSlot,oz,powerPlay,0,311,111452,80264,81.16360474,-5.782352448
pass,failed,slot,1121.87,outsideNorthEast,oz,powerPlay,0,311,370192,80264,88.20478058,8.299999237
pass,successful,slot,1123.97,innerSlot,oz,powerPlay,0,311,109964,80264,75.12831116,0.755882263
reception,successful,regular,1124.60,westOuterSlot,oz,powerPlay,0,311,6588,80264,60.04007339,-17.34999847
shot,failed,slotblocked,1124.63,westOuterSlot,oz,powerPlay,0,311,6588,80264,60.04007339,-17.85293961
pass,successful,eastwest,1129.67,westPoint,oz,powerPlay,0,311,111452,80264,50.98713303,-32.43823242
reception,successful,regular,1130.43,outsideNorthEast,oz,powerPlay,0,311,94531,80264,59.53713226,25.39999962
pass,failed,slot,1131.03,eastOuterSlot,oz,powerPlay,0,311,94531,80264,62.55477905,15.84411812
pass,successful,d2d,1137.87,westPointDZ,dz,powerPlay,0,311,6588,80264,-41.05110168,20.87352943
reception,successful,regular,1139.60,outsideNorthEastDZ,dz,powerPlay,0,311,111452,80264,-60.65794373,-38.97647095
pass,successful,outlet,1143.73,westPointDZ,dz,powerPlay,0,311,111452,80264,-28.97265625,13.83235359
reception,successful,regular,1144.67,southWestBoardsNZ,nz,powerPlay,0,311,370192,80264,-5.33441925,-29.42058563
pass,failed,ozentry,1145.50,northCenterNZ,nz,powerPlay,0,311,370192,80264,13.77734375,-20.36764526
pass,successful,south,1148.33,outsideNorthWest,oz,powerPlay,0,311,370192,80264,83.68616486,-31.9352951
reception,successful,regular,1149.57,westPoint,oz,powerPlay,0,311,94531,80264,32.38616943,-26.40293884
pass,successful,eastwest,1150.10,centerPoint,oz,powerPlay,0,311,94531,80264,31.38028717,-12.32058716
reception,successful,regular,1150.67,eastPoint,oz,powerPlay,0,311,112050,80264,47.97734451,21.37647057
pass,failed,eastwest,1151.50,outsideNorthEast,oz,powerPlay,0,311,112050,80264,56.52734375,23.38823509
pass,successful,south,1153.10,eastOuterSlot,oz,powerPlay,0,311,5814,80264,66.08319855,21.87940025
reception,successful,regular,1154.17,eastPoint,oz,powerPlay,0,311,6588,80264,30.87734222,24.39411736
pass,successful,north,1154.30,eastPoint,oz,powerPlay,0,311,6588,80264,30.87734222,25.39999962
reception,successful,regular,1155.13,eastPoint,oz,powerPlay,0,311,237838,80264,53.50969696,35.96176529
pass,successful,south,1157.30,outsideNorthEast,oz,powerPlay,0,311,237838,80264,59.54499054,32.9441185
reception,successful,regular,1158.00,centerPoint,oz,powerPlay,0,311,6588,80264,31.38028717,7.797058105
pass,successful,northoffboards,1158.23,centerPoint,oz,powerPlay,0,311,6588,80264,30.87734222,7.294116974
reception,successful,regular,1160.43,outsideNorthEast,oz,powerPlay,0,311,237838,80264,91.23028564,31.4352932
pass,successful,outlet,1170.83,outsideNorthEastDZ,dz,shortHanded,0,315,56711,5152,-87.19889832,-35.96176529
reception,successful,regular,1171.53,outsideNorthEastDZ,dz,shortHanded,0,315,179172,5152,-64.56654358,-38.47647095
pass,successful,eastwest,1184.23,southCenterNZ,nz,powerPlay,0,311,110409,80264,-22.93736267,-8.799999237
reception,successful,regular,1185.10,southEastBoardsNZ,nz,powerPlay,0,311,112050,80264,-5.33441925,26.90882301
shot,failed,outsideblocked,1194.17,outsideNorthEast,oz,powerPlay,0,311,112050,80264,55.01852036,34.45294189
pass,successful,south,1197.27,outsideNorthWest,oz,powerPlay,0,311,110409,80264,65.58028412,-36.96470642
reception,successful,regular,1197.97,westPoint,oz,powerPlay,0,311,6588,80264,30.37440491,-18.85882187
pass,successful,north,1200.97,northCenterNZ,nz,powerPlay,0,311,112050,80264,4.831481934,1.758823395
reception,successful,regular,1201.87,northCenterNZ,nz,powerPlay,0,311,112050,80264,16.39912415,9.8058815
pass,successful,eastwest,1205.70,eastPoint,oz,evenStrength,0,311,112050,80264,51.10206604,36.96470642
reception,successful,regular,1206.83,westPoint,oz,evenStrength,0,311,94531,80264,42.0491333,-24.39411736
pass,successful,slot,1207.53,westPoint,oz,evenStrength,0,311,94531,80264,50.09619141,-28.41764641
reception,successful,regular,1208.07,innerSlot,oz,evenStrength,0,311,109964,80264,83.29029846,7.794116974
shot,failed,slot,1208.20,innerSlot,oz,evenStrength,0,311,109964,80264,82.28442383,7.794116974
pass,successful,outlet,1210.87,outsideNorthWestDZ,dz,evenStrength,0,315,79380,5152,-86.30795288,25.90294075
reception,successful,regular,1211.43,outsideNorthWestDZ,dz,evenStrength,0,315,884,5152,-55.12559509,30.42941284
pass,failed,north,1215.47,eastPoint,oz,evenStrength,0,315,884,5152,36.91263962,30.93235207
pass,successful,slot,1216.27,eastPoint,oz,evenStrength,0,315,884,5152,47.97729874,23.38820076
reception,successful,regular,1216.67,eastOuterSlot,oz,evenStrength,0,315,179172,5152,76.1420517,14.83823586
shot,failed,slot,1216.73,eastOuterSlot,oz,evenStrength,0,315,179172,5152,76.1420517,14.83823586
pass,successful,north,1222.70,southEastBoardsNZ,nz,evenStrength,0,311,109964,80264,-15.78910828,40.98823547
reception,successful,regular,1223.23,southEastBoardsNZ,nz,evenStrength,0,311,370192,80264,-7.239105225,37.46764374
pass,successful,d2d,1227.77,outsideNorthWestDZ,dz,evenStrength,0,315,80264,5152,-96.36677551,3.773529053
reception,successful,regular,1228.97,outsideNorthEastDZ,dz,evenStrength,0,315,400162,5152,-94.35501099,-8.297058105
pass,failed,d2doffboards,1229.03,outsideNorthEastDZ,dz,evenStrength,0,315,400162,5152,-94.35501099,-8.297058105
reception,failed,regular,1229.93,outsideNorthWestDZ,dz,evenStrength,0,315,79380,5152,-89.32559204,28.41764641
pass,failed,stretch,1232.20,westPointDZ,dz,evenStrength,0,315,884,5152,-45.57757568,39.98529434
pass,failed,southoffboards,1249.17,outsideNorthWest,oz,evenStrength,0,311,94531,80264,97.88345337,-15.34117699
pass,successful,north,1254.43,westPoint,oz,evenStrength,0,311,94531,80264,28.47756958,-32.9441185
reception,successful,regular,1255.50,westPoint,oz,evenStrength,0,311,237838,80264,48.09228516,-37.47058868
pass,failed,slot,1256.73,outsideNorthWest,oz,evenStrength,0,311,237838,80264,67.20404053,-28.92058754
pass,successful,southoffboards,1259.00,outsideNorthEast,oz,evenStrength,0,311,1731661,80264,94.86581421,24.39117432
reception,successful,regular,1260.13,eastPoint,oz,evenStrength,0,311,6588,80264,36.52462769,39.98235321
pass,failed,northoffboards,1261.47,eastPoint,oz,evenStrength,0,311,6588,80264,38.53639221,39.98235321
reception,failed,regular,1262.03,outsideNorthEast,oz,evenStrength,0,311,1731661,80264,69.21580505,35.95882416
pass,successful,northoffboards,1264.27,eastPoint,oz,evenStrength,0,311,1731661,80264,28.47756958,40.98823547
reception,successful,regular,1267.43,outsideNorthEast,oz,evenStrength,0,311,237838,80264,96.37463379,10.81176376
pass,failed,slot,1268.17,outsideNorthEast,oz,evenStrength,0,311,237838,80264,95.36869812,3.770590067
pass,successful,south,1269.47,outsideNorthEast,oz,evenStrength,0,311,237838,80264,97.38050079,3.267649889
reception,successful,regular,1269.80,outsideNorthEast,oz,evenStrength,0,311,111452,80264,98.88934326,7.794116974
pass,successful,south,1270.97,outsideNorthEast,oz,evenStrength,0,311,111452,80264,87.32168579,35.45587921
reception,successful,regular,1272.23,eastPoint,oz,evenStrength,0,311,6588,80264,29.98640442,40.48529053
pass,successful,northoffboards,1273.50,eastPoint,oz,evenStrength,0,311,6588,80264,34.51286316,40.48529053
reception,successful,regular,1275.10,outsideNorthWest,oz,evenStrength,0,311,237838,80264,98.38639832,-1.761764526
pass,successful,southoffboards,1276.77,outsideNorthWest,oz,evenStrength,0,311,237838,80264,91.34521484,-25.39999962
reception,successful,regular,1278.03,westPoint,oz,evenStrength,0,311,94531,80264,29.98640442,-35.96176529
pass,failed,northoffboards,1279.33,westPoint,oz,evenStrength,0,311,94531,80264,29.98640442,-30.42941284
pass,successful,south,1283.47,westOuterSlot,oz,evenStrength,0,311,109372,80264,69.21579742,-21.87940025
reception,successful,regular,1283.70,westPoint,oz,evenStrength,0,311,94531,80264,39.03933716,-37.97352982
shot,failed,outside,1285.07,westPoint,oz,evenStrength,0,311,94531,80264,36.52462769,-25.90294075
pass,failed,northoffboards,1288.80,outsideNorthEast,oz,evenStrength,0,311,1462,80264,85.30992126,38.473526
pass,successful,d2doffboards,1291.90,outsideNorthEastDZ,dz,evenStrength,0,315,78625,5152,-92.34324646,-30.4264679
reception,successful,regular,1293.10,outsideNorthEastDZ,dz,evenStrength,0,315,20161,5152,-97.87559509,-6.285293579
pass,successful,outlet,1295.10,outsideNorthWestDZ,dz,evenStrength,0,315,20161,5152,-92.84619141,7.797058105
reception,successful,regular,1295.77,outsideNorthEastDZ,dz,evenStrength,0,315,20775372,5152,-84.79910278,-29.92350006
pass,successful,outlet,1296.90,outsideNorthEastDZ,dz,evenStrength,0,315,20775372,5152,-71.22756958,-32.43823242
reception,successful,regular,1297.80,southWestBoardsNZ,nz,evenStrength,0,315,78625,5152,-2.316772461,-37.46764374
pass,failed,outlet,1300.27,eastOuterSlotDZ,dz,evenStrength,0,311,94531,80264,-58.02830887,-8.299999237
pass,failed,rush,1304.80,westPoint,oz,evenStrength,0,311,1462,80264,41.55404663,-27.91470528
pass,failed,outlet,1313.00,innerSlotDZ,dz,evenStrength,0,315,20775372,5152,-78.2609024,-8.297060013
pass,successful,south,1317.83,southCenterNZ,nz,evenStrength,0,311,370192,80264,-8.244990349,-1.258820057
reception,successful,regular,1318.80,eastPointDZ,dz,evenStrength,0,311,108339,80264,-31.88322449,-15.84411812
pass,failed,outlet,1320.03,eastPointDZ,dz,evenStrength,0,311,108339,80264,-43.95381546,-19.86764717
pass,successful,slot,1325.97,outsideNorthEast,oz,evenStrength,0,315,126723,5152,77.14793396,38.97941208
reception,successful,regular,1326.40,eastOuterSlot,oz,evenStrength,0,315,82048,5152,68.09498596,13.32941246
shot,successful,slot,1326.47,eastOuterSlot,oz,evenStrength,0,315,82048,5152,68.09498596,13.32941246
pass,successful,north,1332.77,southEastBoardsNZ,nz,evenStrength,0,315,202206,5152,-10.86677551,33.95000076
reception,successful,regular,1333.23,northEastBoardsNZ,nz,evenStrength,0,315,126723,5152,6.736167908,36.46470642
pass,successful,south,1334.50,northCenterNZ,nz,evenStrength,0,315,80518,5152,0.700874329,1.761764526
reception,successful,regular,1335.37,southEastBoardsNZ,nz,evenStrength,0,315,202206,5152,-9.86089325,23.89117622
pass,successful,d2doffboards,1342.70,outsideNorthWestDZ,dz,evenStrength,0,311,370192,80264,-90.7273407,28.91764832
reception,successful,regular,1344.13,outsideNorthWestDZ,dz,evenStrength,0,311,112050,80264,-74.63322449,39.98235321
pass,failed,outlet,1344.37,outsideNorthWestDZ,dz,evenStrength,0,311,112050,80264,-73.12440491,37.97058868
pass,failed,ozentrystretch,1347.73,eastPointDZ,dz,evenStrength,0,311,94531,80264,-38.92440414,-35.96176529
pass,successful,outlet,1350.57,centerPointDZ,dz,evenStrength,0,315,56711,5152,-47.58148193,-18.35588074
reception,successful,regular,1351.47,westPointDZ,dz,evenStrength,0,315,202206,5152,-42.0491333,21.37647057
pass,successful,stretch,1352.60,westPointDZ,dz,evenStrength,0,315,202206,5152,-38.02560425,34.95588303
reception,successful,regular,1353.27,northCenterNZ,nz,evenStrength,0,315,82048,5152,4.221458435,8.802940369
pass,successful,d2d,1356.47,outsideNorthWestDZ,dz,evenStrength,0,311,6588,80264,-61.05381393,28.91764832
reception,successful,regular,1357.57,outsideNorthEastDZ,dz,evenStrength,0,311,94531,80264,-70.10675812,-23.89117622
pass,failed,ozentrystretch,1358.20,outsideNorthEastDZ,dz,evenStrength,0,311,94531,80264,-71.11264038,-30.42941284
pass,successful,south,1368.20,outsideNorthWest,oz,evenStrength,0,311,112050,80264,60.15501404,-37.47058868
reception,successful,regular,1369.07,westPoint,oz,evenStrength,0,311,94531,80264,28.97265625,-20.3705883
pass,successful,slot,1369.37,westPoint,oz,evenStrength,0,311,94531,80264,29.97854614,-18.35882378
reception,successful,regular,1369.57,westOuterSlot,oz,evenStrength,0,311,370192,80264,65.18441772,-15.34117699
shot,successful,slot,1369.60,westOuterSlot,oz,evenStrength,0,311,370192,80264,65.68736267,-14.83823586
pass,successful,d2d,1372.40,outsideNorthWestDZ,dz,evenStrength,0,315,10534,5152,-68.71286011,25.90294075
reception,successful,regular,1372.60,outsideNorthWestDZ,dz,evenStrength,0,315,20161,5152,-79.77757263,24.89705849
pass,successful,southoffboards,1378.17,westOuterSlot,oz,evenStrength,0,311,237838,80264,67.6991272,-22.38235283
reception,successful,regular,1379.30,westPoint,oz,evenStrength,0,311,446706,80264,43.05500793,-37.97352982
shot,failed,outsideblocked,1380.43,westPoint,oz,evenStrength,0,311,446706,80264,43.05500793,-36.46470642
pass,successful,south,1392.77,westPoint,oz,evenStrength,0,315,10534,5152,45.45478058,-23.888237
reception,successful,regular,1393.00,westPoint,oz,evenStrength,0,315,78625,5152,33.88713074,-30.4264679
pass,successful,northoffboards,1395.53,outsideNorthWest,oz,evenStrength,0,315,78625,5152,82.169487,-36.96470642
reception,successful,regular,1398.53,outsideNorthEast,oz,evenStrength,0,315,20161,5152,71.60771942,40.48823547
pass,failed,slot,1398.57,outsideNorthEast,oz,evenStrength,0,315,20161,5152,73.11654663,39.48235321
shot,failed,outsideblocked,1401.87,westPoint,oz,evenStrength,0,315,20775372,5152,33.38419342,-35.95882416
pass,successful,d2d,1403.53,outsideNorthWestDZ,dz,evenStrength,0,311,446706,80264,-86.69595337,14.83529282
reception,successful,regular,1403.80,outsideNorthWestDZ,dz,evenStrength,0,311,237838,80264,-84.68418884,18.35588074
pass,successful,stretch,1407.93,westPointDZ,dz,evenStrength,0,311,237838,80264,-26.34301758,29.92353058
reception,successful,regular,1409.17,northCenterNZ,nz,evenStrength,0,311,1731661,80264,12.88639832,13.82941055
pass,successful,south,1413.77,westOuterSlot,oz,powerPlay,0,311,370192,80264,70.22169495,-20.3705883
reception,successful,regular,1414.93,westPoint,oz,powerPlay,0,311,94531,80264,38.53639221,-37.97352982
pass,successful,eastwest,1416.00,westPoint,oz,powerPlay,0,311,94531,80264,33.00404358,-15.34117699
reception,successful,regular,1416.93,eastPoint,oz,powerPlay,0,311,112050,80264,37.53051758,28.41470337
pass,successful,north,1420.40,outsideNorthEast,oz,powerPlay,0,311,112050,80264,67.20404053,33.94705963
reception,successful,regular,1421.47,outsideNorthEast,oz,powerPlay,0,311,109964,80264,84.80699158,12.32058716
pass,successful,south,1422.67,outsideNorthEast,oz,powerPlay,0,311,109964,80264,84.30404663,30.92941284
reception,successful,regular,1423.70,eastPoint,oz,powerPlay,0,311,94531,80264,31.99816895,36.46176147
pass,successful,eastwest,1424.07,eastPoint,oz,powerPlay,0,311,94531,80264,31.99816895,31.43235016
reception,successful,regular,1425.20,westPoint,oz,powerPlay,0,311,111452,80264,36.021698,-31.4352932
pass,successful,eastwest,1425.23,westPoint,oz,powerPlay,0,311,111452,80264,35.01580811,-30.42941284
reception,successful,regular,1426.07,centerPoint,oz,powerPlay,0,311,94531,80264,35.51875305,9.302940369
pass,successful,slot,1427.33,centerPoint,oz,powerPlay,0,311,94531,80264,44.0687561,-5.785293579
reception,successful,regular,1427.63,innerSlot,oz,powerPlay,0,311,112050,80264,69.21580505,-0.252941132
shot,failed,slot,1427.67,innerSlot,oz,powerPlay,0,311,112050,80264,69.71875,-1.258823395
pass,successful,south,1429.83,outsideNorthEast,oz,powerPlay,0,311,109964,80264,89.83639526,27.40882111
reception,successful,regular,1430.73,outsideNorthEast,oz,powerPlay,0,311,112050,80264,81.28639221,23.888237
pass,successful,north,1435.47,outsideNorthEast,oz,powerPlay,0,311,112050,80264,77.76580811,30.4264679
reception,successful,regular,1436.23,outsideNorthEast,oz,powerPlay,0,311,370192,80264,83.29815674,34.95294189
pass,successful,south,1436.43,outsideNorthEast,oz,powerPlay,0,311,370192,80264,82.79522705,36.46176147
reception,successful,regular,1437.63,eastPoint,oz,powerPlay,0,311,94531,80264,29.98640442,33.44411469
shot,failed,outsideblocked,1440.43,centerPoint,oz,powerPlay,0,311,94531,80264,36.021698,-5.282352448
pass,successful,d2d,1450.93,outsideNorthWestDZ,dz,powerPlay,0,311,5152,80264,-98.26360321,1.758823395
reception,successful,regular,1451.67,outsideNorthWestDZ,dz,powerPlay,0,311,94531,80264,-96.25183868,2.261764526
pass,successful,d2d,1455.33,centerPointDZ,dz,powerPlay,0,311,94531,80264,-36.40184021,-0.755882263
reception,successful,regular,1457.43,outsideNorthWestDZ,dz,powerPlay,0,311,370192,80264,-61.04595566,24.39117432
pass,successful,north,1460.57,northCenterNZ,nz,powerPlay,0,311,370192,80264,9.36580658,21.37352753
reception,successful,regular,1461.10,northEastBoardsNZ,nz,powerPlay,0,311,112050,80264,18.41874695,40.98823547
pass,successful,northoffboards,1461.77,eastPoint,oz,powerPlay,0,311,112050,80264,39.5422821,40.48529053
reception,successful,regular,1463.57,outsideNorthEast,oz,powerPlay,0,311,370192,80264,83.80110168,36.96470642
